file,page_index_1based,fixup_rec_off,fixup_next_off,span
w95/extract/us/mdmgr.vxd,1,0,0,0
w95/extract/us/mdmgr.vxd,2,0,114,114
w95/extract/us/mdmgr.vxd,3,114,396,282
w95/extract/us/mdmgr.vxd,4,396,476,80
w95/extract/us/mdmgr.vxd,5,476,563,87
w95/extract/us/mdmgr.vxd,6,563,598,35
w95/extract/us/mdmgr.vxd,7,598,669,71
w95/extract/us/mdmgr.vxd,8,669,710,41
w95/extract/us/mdmgr.vxd,9,710,761,51
w95/extract/us/mdmgr.vxd,10,761,782,21
w95/extract/us/mdmgr.vxd,11,782,820,38
w95/extract/us/mdmgr.vxd,12,820,917,97
w95/extract/us/mdmgr.vxd,13,917,1018,101
w95/extract/us/mdmgr.vxd,14,1018,1094,76
w95/extract/us/mdmgr.vxd,15,1094,1183,89
w95/extract/us/mdmgr.vxd,16,1183,1300,117
w95/extract/us/mdmgr.vxd,17,1300,1323,23
w95/extract/us/mdmgr.vxd,18,1323,1404,81
w95/extract/us/mdmgr.vxd,19,1404,1479,75
w95/extract/us/mdmgr.vxd,20,1479,1675,196
w95/extract/us/mdmgr.vxd,21,1675,1792,117
w95/extract/us/mdmgr.vxd,22,1792,1878,86
w95/extract/us/mdmgr.vxd,23,1878,1913,35
w95/extract/us/mdmgr.vxd,24,1913,1934,21
w95/extract/us/mdmgr.vxd,25,1934,1934,0
w95/extract/us/mdmgr.vxd,26,1934,1934,0
w95/extract/us/mdmgr.vxd,27,1934,1948,14
w95/extract/us/mdmgr.vxd,28,1948,2148,200
w95/extract/us/mdmgr.vxd,29,2148,2169,21
w95/extract/us/mdmgr.vxd,30,2169,2183,14
w95/extract/us/mdmgr.vxd,31,2183,2300,117
w95/extract/us/mdmgr.vxd,32,2300,2398,98
w95/extract/us/mdmgr.vxd,33,2398,2408,10
w95/extract/us/mdhlp.vxd,1,0,76,76
w95/extract/us/mdhlp.vxd,2,76,90,14
w95/extract/us/mdhlp.vxd,3,90,97,7
w95/extract/us/mdhlp.vxd,4,97,97,0
w95/extract/us/mdhlp.vxd,5,97,97,0
w95/extract/us/mdhlp.vxd,6,97,107,10
w95/extract/us/mdhlp.vxd,7,107,241,134
w95/extract/us/mdhlp.vxd,8,241,248,7
w95/extract/us/mdhlp.vxd,9,248,282,34
w95/extract/us/mdhlp.vxd,10,282,282,0
w95/extract/us/mdhlp.vxd,11,282,348,66
w95/extract/us/mdhlp.vxd,12,348,607,259
w95/extract/us/mdhlp.vxd,13,607,733,126
w95/extract/us/mdhlp.vxd,14,733,764,31
w95/extract/us/mdfsd.vxd,1,0,0,0
w95/extract/us/mdfsd.vxd,2,0,0,0
w95/extract/us/mdfsd.vxd,3,0,0,0
w95/extract/us/mdfsd.vxd,4,0,0,0
w95/extract/us/mdfsd.vxd,5,0,0,0
w95/extract/us/mdfsd.vxd,6,0,0,0
w95/extract/us/mdfsd.vxd,7,0,0,0
w95/extract/us/mdfsd.vxd,8,0,0,0
w95/extract/us/mdfsd.vxd,9,0,0,0
w95/extract/us/mdfsd.vxd,10,0,0,0
w95/extract/us/mdfsd.vxd,11,0,0,0
w95/extract/us/mdfsd.vxd,12,0,0,0
w95/extract/us/mdfsd.vxd,13,0,0,0
w95/extract/us/mdfsd.vxd,14,0,0,0
w95/extract/us/mdfsd.vxd,15,0,0,0
w95/extract/us/mdfsd.vxd,16,0,0,0
w95/extract/us/mdfsd.vxd,17,0,0,0
w95/extract/us/mdfsd.vxd,18,0,0,0
w95/extract/us/mdfsd.vxd,19,0,0,0
w95/extract/us/mdfsd.vxd,20,0,0,0
w95/extract/us/mdfsd.vxd,21,0,0,0
w95/extract/us/mdfsd.vxd,22,0,0,0
w95/extract/us/mdfsd.vxd,23,0,0,0
w95/extract/us/mdfsd.vxd,24,0,0,0
w95/extract/us/mdfsd.vxd,25,0,0,0
w95/extract/us/mdfsd.vxd,26,0,0,0
w95/extract/us/mdfsd.vxd,27,0,0,0
w95/extract/us/mdfsd.vxd,28,0,0,0
w95/extract/us/mdfsd.vxd,29,0,0,0
w95/extract/us/mdfsd.vxd,30,0,0,0
w95/extract/us/mdfsd.vxd,31,0,0,0
w95/extract/us/mdfsd.vxd,32,0,0,0
w95/extract/us/mdfsd.vxd,33,0,0,0
w95/extract/us/mdfsd.vxd,34,0,0,0
w95/extract/us/mdfsd.vxd,35,0,0,0
w95/extract/us/mdfsd.vxd,36,0,0,0
w95/extract/us/mdfsd.vxd,37,0,0,0
w95/extract/us/mdfsd.vxd,38,0,0,0
w95/extract/us/mdfsd.vxd,39,0,0,0
w95/extract/us/mdfsd.vxd,40,0,0,0
w95/extract/us/mdfsd.vxd,41,0,0,0
w95/extract/us/mdfsd.vxd,42,0,244,244
w95/extract/us/mdfsd.vxd,43,244,303,59
w95/extract/us/mdfsd.vxd,44,303,341,38
w95/extract/us/mdfsd.vxd,45,341,403,62
w95/extract/us/mdfsd.vxd,46,403,458,55
w95/extract/us/mdfsd.vxd,47,458,493,35
w95/extract/us/mdfsd.vxd,48,493,510,17
w95/extract/us/mdfsd.vxd,49,510,520,10
w95/extract/us/mdfsd.vxd,50,520,534,14
w95/extract/us/mdfsd.vxd,51,534,611,77
w95/extract/us/mdfsd.vxd,52,611,621,10
w95/extract/us/mdfsd.vxd,53,621,628,7
w95/extract/us/mdfsd.vxd,54,628,635,7
w95/extract/us/mdfsd.vxd,55,635,635,0
w95/extract/us/mdfsd.vxd,56,635,656,21
w95/extract/us/mdfsd.vxd,57,656,670,14
w95/extract/us/mdfsd.vxd,58,670,691,21
w95/extract/us/mdfsd.vxd,59,691,698,7
w95/extract/us/mdfsd.vxd,60,698,728,30
w95/extract/us/mdfsd.vxd,61,728,735,7
w95/extract/us/mdfsd.vxd,62,735,775,40
w95/extract/us/mdfsd.vxd,63,775,849,74
w95/extract/us/mdfsd.vxd,64,849,881,32
w95/extract/us/mdfsd.vxd,65,881,881,0
w95/extract/us/mdfsd.vxd,66,881,895,14
w95/extract/us/mdfsd.vxd,67,895,968,73
w95/extract/us/mdfsd.vxd,68,968,982,14
w95/extract/us/mdfsd.vxd,69,982,989,7
w95/extract/us/mdfsd.vxd,70,989,1013,24
w95/extract/us/mdfsd.vxd,71,1013,1046,33
w95/extract/us/mdfsd.vxd,72,1046,1046,0
w95/extract/us/mdfsd.vxd,73,1046,1060,14
w95/extract/us/mdfsd.vxd,74,1060,1060,0
w95/extract/us/mdfsd.vxd,75,1060,1070,10
w95/extract/us/mdfsd.vxd,76,1070,1096,26
w95/extract/us/mdfsd.vxd,77,1096,1110,14
w95/extract/us/mdfsd.vxd,78,1110,1120,10
w95/extract/us/mdfsd.vxd,79,1120,1120,0
w95/extract/us/mdfsd.vxd,80,1120,1130,10
w95/extract/us/mdfsd.vxd,81,1130,1130,0
w95/extract/us/mdfsd.vxd,82,1130,1147,17
w95/extract/us/mdfsd.vxd,83,1147,1147,0
w95/extract/us/mdfsd.vxd,84,1147,1161,14
w95/extract/us/mdfsd.vxd,85,1161,1189,28
w95/extract/us/mdfsd.vxd,86,1189,1196,7
w95/extract/us/mdfsd.vxd,87,1196,1196,0
w95/extract/us/mdfsd.vxd,88,1196,1290,94
w95/extract/us/mdfsd.vxd,89,1290,1376,86
w95/extract/us/mdfsd.vxd,90,1376,1376,0
w95/extract/us/mdfsd.vxd,91,1376,1383,7
w95/extract/us/mdfsd.vxd,92,1383,1404,21
w95/extract/us/mdfsd.vxd,93,1404,1414,10
w95/extract/us/mdfsd.vxd,94,1414,1421,7
w95/extract/us/mdfsd.vxd,95,1421,1421,0
w95/extract/us/mdfsd.vxd,96,1421,1428,7
w95/extract/us/mdfsd.vxd,97,1428,1442,14
w95/extract/us/mdfsd.vxd,98,1442,1442,0
w95/extract/us/mdfsd.vxd,99,1442,1449,7
w95/extract/us/mdfsd.vxd,100,1449,1463,14
w95/extract/us/mdfsd.vxd,101,1463,1470,7
w95/extract/us/mdfsd.vxd,102,1470,1470,0
w95/extract/us/mdfsd.vxd,103,1470,1484,14
w95/extract/us/mdfsd.vxd,104,1484,1491,7
w95/extract/us/mdfsd.vxd,105,1491,1498,7
w95/extract/us/mdfsd.vxd,106,1498,1505,7
w95/extract/us/mdfsd.vxd,107,1505,1519,14
w95/extract/us/mdfsd.vxd,108,1519,1540,21
w95/extract/us/mdfsd.vxd,109,1540,1560,20
w95/extract/us/mdfsd.vxd,110,1560,1560,0
w95/extract/us/mdfsd.vxd,111,1560,1567,7
w95/extract/us/mdfsd.vxd,112,1567,1577,10
w95/extract/us/mdfsd.vxd,113,1577,1584,7
w95/extract/us/mdfsd.vxd,114,1584,1598,14
w95/extract/us/mdfsd.vxd,115,1598,1598,0
w95/extract/us/mdfsd.vxd,116,1598,1598,0
w95/extract/us/mdfsd.vxd,117,1598,1598,0
w95/extract/us/mdfsd.vxd,118,1598,1605,7
w95/extract/us/mdfsd.vxd,119,1605,1612,7
w95/extract/us/mdfsd.vxd,120,1612,1612,0
w95/extract/us/mdfsd.vxd,121,1612,1612,0
w95/extract/us/mdfsd.vxd,122,1612,1619,7
w95/extract/us/mdfsd.vxd,123,1619,1626,7
w95/extract/us/mdfsd.vxd,124,1626,1626,0
w95/extract/us/mdfsd.vxd,125,1626,1633,7
w95/extract/us/mdfsd.vxd,126,1633,1655,22
w95/extract/us/mdfsd.vxd,127,1655,1655,0
w95/extract/us/mdfsd.vxd,128,1655,1655,0
w95/extract/us/mdfsd.vxd,129,1655,1655,0
w95/extract/us/mdfsd.vxd,130,1655,1655,0
w95/extract/us/mdfsd.vxd,131,1655,1675,20
w95/extract/us/mdfsd.vxd,132,1675,1691,16
w95/extract/us/mdfsd.vxd,133,1691,1729,38
w95/extract/us/mdfsd.vxd,134,1729,1752,23
w95/extract/us/mdfsd.vxd,135,1752,1776,24
w95/extract/us/mdfsd.vxd,136,1776,1922,146
w95/extract/us/mdfsd.vxd,137,1922,1993,71
w95/extract/us/mdfsd.vxd,138,1993,2131,138
w95/extract/us/mdfsd.vxd,139,2131,2165,34
w95/extract/us/mdfsd.vxd,140,2165,2202,37
w95/extract/us/mdfsd.vxd,141,2202,2274,72
w95/extract/us/mdfsd.vxd,142,2274,2337,63
w95/extract/us/mdfsd.vxd,143,2337,2351,14
w95/extract/us/mdfsd.vxd,144,2351,2372,21
w95/extract/us/mdfsd.vxd,145,2372,2372,0
w95/extract/us/mdfsd.vxd,146,2372,2372,0
w95/extract/us/mdfsd.vxd,147,2372,2382,10
